uuid,Title,Organization,Location,Description,Start time,End time,Published,Public,Tags,Interested,Favorites,Creation date,Last Modified,Has cover,Capacity
59138991-7c54-5892-8b5a-38ed34085da2,"Nonprofit, Education & Public Service Career Fair",CalCareerCenter,"Pauley Ballroom, Berkeley, CA",,2020-03-10 22:00:00,2020-03-10 23:30:00,1,1,"[20, 11, 18]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
112ba5d5-7e4f-5296-97ca-6ef1b8446180,2020 Diversity Career Internship Fair & Forum,CalCareerCenter,"Pauley Ballroom, Berkeley, CA",,2020-03-11 18:00:00,2020-03-11 19:30:00,1,1,"[20, 11, 18]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
7f4a5a40-7872-518a-bc86-463bfdf5b6f0,General Meeting #2,calaurumcosmetics,Dwinelle 258,,2020-03-10 02:00:00,2020-03-10 03:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
e6a32185-4f1d-5c7d-8e02-878111fa8d07,LVMH Panel: Women in Luxury Beauty,calaurumcosmetics,VLSB 2060,,2020-03-12 00:00:00,2020-03-12 01:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
b21df302-9c73-56d6-a7f0-be3c4788c5a2,Second Club-Wide Social,calaurumcosmetics,TBD,,2020-03-17 01:30:00,2020-03-17 03:00:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
e384d5f4-bb84-5587-81b7-d5f4ed2559ea,QUEER YOUR HEART OUT: Art + Dinner,BerkeleyStudentCooperative,"Oscar Wilde House, Berkeley, CA",,2020-03-08 01:00:00,2020-03-08 02:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
e9717cc4-bd58-549e-bc4c-b57d87fc9852,Seattle Happy Hour,BerkeleyStudentCooperative,"Optimism Brewing Company, Seattle, WA",,2020-03-24 01:00:00,2020-03-24 02:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
104875e7-d96e-5a03-bd91-9dfe49e0b545,Portland Happy Hour,BerkeleyStudentCooperative,"Rose City Book Pub, Portland, OR",,2020-03-28 00:00:00,2020-03-28 01:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
7d58e0a8-787d-5db5-9dd5-5906cb1a777e,New York City Happy Hour,BerkeleyStudentCooperative,"Berkeley Student Cooperative, Berkeley, CA",,2020-05-21 01:00:00,2020-05-21 02:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
a902ed14-b739-5fde-8d0c-03b13706d11f,State of the Association,theASUC,"Associated Students of the University of California - ASUC, Berkeley, CA",,2020-03-12 03:00:00,2020-03-12 04:30:00,1,1,"[5, 29, 28]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
4920b14b-f8e7-5af8-824a-7173e9ec6252,Experiments in the Field,BerkeleyArtCenter,"Berkeley Art Center, Berkeley, CA",,2020-03-29 01:00:00,2020-03-29 02:30:00,1,1,[2],[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
b8bc19ad-80ac-584f-91a2-d9c4396c5a9d,Asian Pacific Islander Issues Conference 2020,ucbsasc,"University of California, Berkeley, Oakland, CA",,2020-03-07 17:00:00,2020-03-07 18:30:00,1,1,"[25, 4]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
0ba43b0d-5d5e-5bb8-8210-e5131cc21f47,SASC Summer Institute 2020 Mentee Application,ucbsasc,"Southeast Asian Student Coalition, Berkeley, CA",,2020-04-05 07:00:00,2020-04-05 08:30:00,1,1,"[25, 4]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
5c105f69-c127-5190-88e4-e99b21b57e61,QT Clothing Swap!,ucbqarc,"Hearst Field Annex, Berkeley, CA",,2020-03-19 00:00:00,2020-03-19 01:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
e6934abb-eb7f-5d0d-a1df-7a246ea50e6d,Portrait Workshop (Outlet GM!),OutletAtCal,Dwinelle 235,,2020-03-05 02:00:00,2020-03-05 03:30:00,1,1,"[2, 29]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
e2533ce2-aaaf-5d91-b63b-344300b2011e,ASUC: 2020-2021 Annual Budgeting & Spaces Allocation Application,evpandytheocharous,UC Berkeley,,2020-03-06 07:00:00,2020-03-06 08:30:00,1,1,"[5, 1, 28]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
4bf57c28-9d80-56c8-b288-28dc3174ad53,CSUA Git Workshop,csua,Soda Hall 405,,2020-03-05 23:00:00,2020-03-06 00:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
812f45b8-61b1-5163-a687-0517fc32f92b,CSUA General Meeting #2,csua,"Wozniak Lounge, Berkeley, CA",,2020-03-06 03:00:00,2020-03-06 04:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
ed9cf62f-2c35-5668-8065-97a7f8f13025,Root Day,csua,"310 Soda Hall, Berkeley, CA",,2020-03-06 22:00:00,2020-03-06 23:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
1d5464cb-8ee0-5e9f-b19d-c3634f9fd1ab,Genentech Infosession,csua,"Wozniak Lounge, Berkeley, CA",,2020-04-03 00:30:00,2020-04-03 02:00:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
fb93a6e4-016c-51ea-8215-7381543c1d42,Jefferies Equity Research Information Session,BerkeleyInvestmentGroup,Chou Hall N500,,2020-03-06 00:00:00,2020-03-06 01:30:00,1,1,"[1, 6, 32]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
0f094743-b7ab-5e61-b400-c5f384abb8a7,Matrix Capital Management Information Session,BerkeleyInvestmentGroup,"Faculty Club, Seaborg Room",,2020-03-19 01:00:00,2020-03-19 02:30:00,1,1,"[1, 6, 32]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
0f3c4147-d17b-589f-885b-f4a89067e5b4,Intro to California State Taxes Workshop,BerkeleyInternationalOffice,2040 Valley Life Sciences Building,,2020-03-11 00:30:00,2020-03-11 02:00:00,1,1,"[5, 4, 1]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
db5d7c51-0252-529a-8765-738acd058ba3,Travel and Visa Renewal Webinar,BerkeleyInternationalOffice,Online Webinar,,2020-03-11 18:00:00,2020-03-11 19:30:00,1,1,"[5, 4, 1]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
971884e2-35c8-55e8-87a3-b469c1d276e6,Intro to California State Taxes Workshop,BerkeleyInternationalOffice,4 LeConte Hall,,2020-04-03 00:30:00,2020-04-03 02:00:00,1,1,"[5, 4, 1]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
