LOC,DAY,IS_OPEN,MSG,ENTREES,BEAR FIT,GRILLED,PIZZAS,PASTAS,DESSERTS,SOUPS,DELI AND SALAD BAR,HOT GRAINS,BREAKFAST,MUFFIN,FUSION,CENTER OF THE PLATE,SPECIALTY SALADS,KOSHER DELI,DANISH
Foothill,3,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Pork Pozole"": [""Contains Pork""]}",,"{""Spicy Chicken Sandwich"": [""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Sunflower Cutlet Sandwich"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Coleslaw"": [""Egg"", ""Vegetarian Option""]}","{""Hawaiian Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Pineapple and Roasted Red Pepper Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Orecchiette Pasta with Pear and Asiago Cream"": [""Milk"", ""Wheat"", ""Contains Gluten""], ""Baguette"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""]}","{""Chocolate Chunk Brownie"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Luscious Lemon Bar"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Lemon Sugar Cookie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Vanilla and Chocolate Cupcakes"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""New England Clam Chowder"": [""Milk"", ""Fish"", ""Shellfish"", ""Wheat"", ""Contains Gluten""], ""Carrot Ginger Soup"": [""Soybeans"", ""Sesame"", ""Vegan Option""]}","{""Edamame & Corn Salad"": [""Soybeans"", ""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}",,,,"{""Beef Iskender Kebap"": [""Milk"", ""Wheat"", ""Contains Gluten""], ""Legume Iskander Kebap"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Brown Rice Pilaf"": [""Soybeans""], ""Turkish Vegetable Medley"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}",,,,
Foothill,4,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Grilled Tri Tip w/ Chimichurri Sauce"": [""Contains Alcohol""], ""Herb Roasted Chicken"": [], ""Vegan Celebration Roast"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Wild Rice Pilaf"": [""Vegan Option""], ""Vegetable Medley"": [""Vegan Option""]}",,,"{""Bacon Kale Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Roasted Pepper Deluxe Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Lentil Ragu"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,"{""Chicken Noodle Soup"": [""Egg"", ""Wheat"", ""Contains Gluten""], ""Lentil Soup"": [""Vegan Option""]}","{""Cucumber Tomato & Corn Salad"": [""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Rolled Oatmeal"": [""Vegan Option""], ""Cream of Wheat"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Chorizo Scramble"": [""Contains Pork""], ""Tater Tots"": [""Vegan Option""], ""Bacon"": [""Contains Pork""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Waffles"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Savory Tofu, Spinach, Tomato Scramble"": [""Soybeans"", ""Vegan Option""], ""Sun Dried Tomato Spinach and Feta Quiche"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""]}","{""Banana Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Toffee Caramel Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Foothill,5,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Southern Glazed Ham"": [""Contains Pork""], ""Oven Roasted Turkey Breast"": [], ""Sunflower Cutlet with Mushroom Gravy"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Buttery Mashed Potatoes"": [""Milk"", ""Soybeans"", ""Vegetarian Option""], ""Sauteed Green Beans"": [""Vegan Option""]}",,,"{""Sweet Potato Goat Cheese and Sausage Pizza"": [""Milk"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""Sweet Potato Leek and Goat Cheese Pizza"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Brussels Sprouts and Blue Cheese Pasta"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Baguette"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""]}",,"{""Lobster Bisque"": [""Milk"", ""Fish"", ""Shellfish"", ""Wheat"", ""Contains Gluten"", ""Contains Alcohol""], ""Three Bean Chili"": [""Vegan Option""]}","{""Herbed Pasta Salad"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Rolled Oatmeal"": [""Vegan Option""], ""Grits"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Mushroom and Kale Scramble"": [""Egg"", ""Vegetarian Option""], ""Hashbrowns"": [""Vegan Option""], ""Turkey Links"": [], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Waffles"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Just Egg Patty"": [""Vegan Option""], ""Ham & Cheese Quiche"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""]}","{""Blueberry Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Cranberry Orange Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Foothill,6,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Chipotle Chicken Pasta"": [""Milk"", ""Wheat"", ""Contains Gluten""], ""Vegan Chipotle Pasta"": [""Milk"", ""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Roasted Roma Tomato"": [""Vegan Option""], ""Broccoli"": [""Vegan Option""]}",,"{""Catfish PoBoy"": [""Egg"", ""Fish"", ""Wheat"", ""Contains Gluten""], ""Cauliflower PoBoy"": [""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Housemade Chips"": [""Vegan Option""]}","{""Potato and Pancetta Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""Potato and Kale Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Pasta Pesto"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Dinner Roll"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""]}","{""Flourless Chocolate Torte"": [""Milk"", ""Egg"", ""Soybeans"", ""Vegetarian Option""], ""Carrot Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Lemon Sugar Cookie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Mini Vanilla Cheesecake"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Hungarian Mushroom Soup"": [""Milk"", ""Contains Alcohol""], ""Tomato Garden Soup"": [""Vegan Option""]}","{""Tomato Couscous Salad"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}",,,,"{""Japanese Curry Bar"": [""Wheat"", ""Soybeans"", ""Contains Gluten""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}",,,,
Clark Kerr,0,False,No Brunch or Lunch Menu,,,,,,,,,,,,,,,,
Clark Kerr,1,False,No Brunch or Lunch Menu,,,,,,,,,,,,,,,,
Clark Kerr,2,False,No Brunch or Lunch Menu,,,,,,,,,,,,,,,,
Clark Kerr,3,False,No Brunch or Lunch Menu,,,,,,,,,,,,,,,,
Clark Kerr,4,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Citrus Glazed Pork Loin"": [""Contains Pork""], ""Chipotle Crusted Turkey"": [""Wheat"", ""Contains Gluten""], ""Sweet and Sour Tofu"": [""Soybeans"", ""Vegan Option""], ""Jasmine Rice"": [""Vegan Option""], ""Vegetable Medley"": [""Vegan Option""]}",,,"{""Thai BBQ Chicken Pizza"": [""Milk"", ""Wheat"", ""Soybeans"", ""Sesame"", ""Contains Gluten""], ""Thai BBQ Shitake Pizza"": [""Milk"", ""Wheat"", ""Soybeans"", ""Sesame"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Garlic and Green Olive Pasta"": [""Egg"", ""Wheat"", ""Soybeans"", ""Sesame"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,"{""Chicken Dumpling Soup"": [""Egg"", ""Wheat"", ""Contains Gluten""], ""Carrot Ginger Soup"": [""Soybeans"", ""Sesame"", ""Vegan Option""]}","{""Cucumber Tomato & Corn Salad"": [""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Rolled Oatmeal"": [""Vegan Option""], ""Cream of Wheat"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Denver Scramble"": [""Egg"", ""Contains Gluten"", ""Contains Pork""], ""Pan-fried Potatoes and Peppers"": [""Soybeans"", ""Vegan Option""], ""Bacon"": [""Contains Pork""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Waffles"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Farinata Sweet Potato Hash"": [""Vegan Option""], ""Potato and Onion Frittata"": [""Milk"", ""Egg"", ""Soybeans"", ""Vegetarian Option""]}","{""Banana Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Toffee Caramel Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Clark Kerr,5,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Beef Tri Tip with Bordelaise Sauce"": [""Soybeans"", ""Contains Alcohol""], ""Lemon Parmesean Tilapia"": [""Milk"", ""Egg"", ""Fish""], ""Sunflower Cutlet with Mushroom Gravy"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Roasted Red Potatoes"": [""Vegan Option""], ""Broccoli and Cauliflower"": [""Vegan Option""]}",,,"{""Bacon Dates and Bleu Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""Dates Brussels Sprouts and Bleu Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Brussels Sprouts and Blue Cheese Pasta"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Baguette"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""]}",,"{""Hungarian Mushroom Soup"": [""Milk"", ""Contains Alcohol""], ""Tomato Garden Soup"": [""Vegan Option""]}","{""Herbed Pasta Salad"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Rolled Oatmeal"": [""Vegan Option""], ""Grits"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Spinach and Bell Pepper Scramble"": [""Egg"", ""Vegetarian Option""], ""Tater Tots"": [""Vegan Option""], ""Pork Sausage Links"": [""Contains Pork""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Waffles"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Savory Tofu, Spinach, Tomato Scramble"": [""Soybeans"", ""Vegan Option""], ""Leek and Bacon Quiche"": [""Milk"", ""Egg"", ""Contains Pork""]}","{""Blueberry Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Cranberry Orange Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Clark Kerr,6,False,No Brunch or Lunch Menu,,,,,,,,,,,,,,,,
Cafe 3,0,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,,,"{""Halal Beef Patty"": [""Halal""], ""Black Bean Burger Patty"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""White Hamburger Bun"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Whole Wheat Hamburger Bun"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Burger Accoutrements"": [""Milk"", ""Vegetarian Option""]}","{""Buffalo Chicken Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten""], ""Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Flatbread or Gluten Free Pizza Per Request"": []}",,"{""Peach Pie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Carrot Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Raspberry Sammie"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Lentil Soup"": [""Vegan Option""]}",,,,,,"{""Halal Beef Shepherd Pie"": [""Milk"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Halal""], ""Vegan Shepherd Pie"": [""Vegan Option""], ""Wild Rice Pilaf"": [""Vegan Option""], ""Broccoli and Cauliflower"": [""Vegan Option""], ""Braised Chard"": [""Vegan Option""]}","{""Orzo Salad with Carrots"": [""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""]}","{""Kosher Tuna Salad"": [""Egg"", ""Fish"", ""Kosher""], ""Kosher Egg Salad"": [""Egg"", ""Vegetarian Option"", ""Kosher""], ""Housemade hummus"": [""Sesame"", ""Vegan Option""], ""Spring Mix"": [""Vegan Option""], ""Romaine Lettuce"": [""Vegan Option""], ""Marinated Tomatoes"": [""Vegan Option""], ""Marinated Cucumbers"": [""Vegan Option""], ""Pickles"": [], ""Green Olives"": [], ""Black Olives"": [], ""Grilled Vegetables"": [""Vegan Option""], ""Dolmas"": [""Vegan Option""], ""Dates"": [""Vegan Option""]}",
Cafe 3,1,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,,,"{""Halal Beef Patty"": [""Halal""], ""Black Bean Burger Patty"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""White Hamburger Bun"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Whole Wheat Hamburger Bun"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Burger Accoutrements"": [""Milk"", ""Vegetarian Option""]}","{""Pepperoni Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Flatbread or Gluten Free Pizza Per Request"": []}",,"{""Pecan Pie"": [""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""German Chocolate Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Heath Toffee Crunch Blondie"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Split Pea with Kale Soup"": [""Vegan Option""]}",,,,,,"{""Halal Chicken Coconut Curry"": [""Halal""], ""Rajma"": [], ""Fragrant Basmati Rice"": [""Vegan Option""], ""Roasted Beets"": [""Vegan Option""], ""Peas with Mint"": [""Vegan Option""]}","{""Tomato Couscous Salad"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""]}","{""Kosher Tuna Salad"": [""Egg"", ""Fish"", ""Kosher""], ""Kosher Egg Salad"": [""Egg"", ""Vegetarian Option"", ""Kosher""], ""Housemade hummus"": [""Sesame"", ""Vegan Option""], ""Spring Mix"": [""Vegan Option""], ""Romaine Lettuce"": [""Vegan Option""], ""Marinated Tomatoes"": [""Vegan Option""], ""Marinated Cucumbers"": [""Vegan Option""], ""Pickles"": [], ""Green Olives"": [], ""Black Olives"": [], ""Grilled Vegetables"": [""Vegan Option""], ""Dolmas"": [""Vegan Option""], ""Dates"": [""Vegan Option""]}",
Cafe 3,2,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,,,"{""Halal Beef Patty"": [""Halal""], ""Black Bean Burger Patty"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""White Hamburger Bun"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Whole Wheat Hamburger Bun"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Burger Accoutrements"": [""Milk"", ""Vegetarian Option""]}","{""Meat Lovers Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Flatbread or Gluten Free Pizza Per Request"": []}",,"{""Cherry Pie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Flourless Chocolate Torte"": [""Milk"", ""Egg"", ""Soybeans"", ""Vegetarian Option""], ""Chocolate Chunk Brownie"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Tomato Garden Soup"": [""Vegan Option""]}",,,,,,"{""Halal Beef Cinncinnati"": [""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Halal""], ""Pasta Primavera"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Spaghetti"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Grilled Peppers & Onions"": [""Vegan Option""]}","{""Garbanzo Bean and Cherry Tomato Salad"": [""Vegan Option"", ""Contains Alcohol""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""]}","{""Kosher Tuna Salad"": [""Egg"", ""Fish"", ""Kosher""], ""Kosher Egg Salad"": [""Egg"", ""Vegetarian Option"", ""Kosher""], ""Housemade hummus"": [""Sesame"", ""Vegan Option""], ""Spring Mix"": [""Vegan Option""], ""Romaine Lettuce"": [""Vegan Option""], ""Marinated Tomatoes"": [""Vegan Option""], ""Marinated Cucumbers"": [""Vegan Option""], ""Pickles"": [], ""Green Olives"": [], ""Black Olives"": [], ""Grilled Vegetables"": [""Vegan Option""], ""Dolmas"": [""Vegan Option""], ""Dates"": [""Vegan Option""]}",
Cafe 3,3,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,,,"{""Halal Beef Patty"": [""Halal""], ""Black Bean Burger Patty"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""White Hamburger Bun"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Whole Wheat Hamburger Bun"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Burger Accoutrements"": [""Milk"", ""Vegetarian Option""]}","{""Greek Chicken Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Flatbread or Gluten Free Pizza Per Request"": []}",,"{""Pumpkin Pie"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Carrot Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Heath Toffee Crunch Blondie"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Tomato Garden Soup"": [""Vegan Option""]}",,,,,,"{""Breaded Cod With Tarter Sauce"": [""Egg"", ""Fish"", ""Wheat""], ""Cajun Tofu"": [""Soybeans"", ""Vegan Option""], ""Dirty Rice"": [""Vegan Option""], ""Fried Okra"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Collard Greens"": [""Vegan Option""]}","{""Garden Pasta Salad"": [""Milk"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""]}","{""Kosher Tuna Salad"": [""Egg"", ""Fish"", ""Kosher""], ""Kosher Egg Salad"": [""Egg"", ""Vegetarian Option"", ""Kosher""], ""Housemade hummus"": [""Sesame"", ""Vegan Option""], ""Spring Mix"": [""Vegan Option""], ""Romaine Lettuce"": [""Vegan Option""], ""Marinated Tomatoes"": [""Vegan Option""], ""Marinated Cucumbers"": [""Vegan Option""], ""Pickles"": [], ""Green Olives"": [], ""Black Olives"": [], ""Grilled Vegetables"": [""Vegan Option""], ""Dolmas"": [""Vegan Option""], ""Dates"": [""Vegan Option""]}",
Cafe 3,4,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Halal Herb Roasted Chicken"": [""Halal""], ""Chickenless Patty"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegan Option""], ""Buttery Mashed Potatoes"": [""Milk"", ""Soybeans"", ""Vegetarian Option""], ""Sauteed Green Beans"": [""Vegan Option""], ""Roasted Beets"": [""Vegan Option""], ""Vegan Mushroom Gravy"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""]}",,,"{""Artichoke and Olive Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Flatbread or Gluten Free Pizza Per Request"": []}","{""Penne Alfredo"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,"{""Carrot Ginger Soup"": [""Soybeans"", ""Sesame"", ""Vegan Option""]}",,"{""Rolled Oatmeal"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Soyrizo w/ Peppers & Onions"": [""Soybeans"", ""Vegan Option""], ""Fried Plantains with Granola and Berries"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Potato Wedges"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Pancakes"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,"{""Greek Salad"": [""Milk"", ""Vegetarian Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""]}","{""Kosher Tuna Salad"": [""Egg"", ""Fish"", ""Kosher""], ""Kosher Egg Salad"": [""Egg"", ""Vegetarian Option"", ""Kosher""], ""Housemade hummus"": [""Sesame"", ""Vegan Option""], ""Spring Mix"": [""Vegan Option""], ""Romaine Lettuce"": [""Vegan Option""], ""Marinated Tomatoes"": [""Vegan Option""], ""Marinated Cucumbers"": [""Vegan Option""], ""Pickles"": [], ""Green Olives"": [], ""Black Olives"": [], ""Grilled Vegetables"": [""Vegan Option""], ""Dolmas"": [""Vegan Option""], ""Dates"": [""Vegan Option""]}","{""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}"
